1	74	61
2	74	60
3	74	60
4	73	61
5	73	61
6	72	60
7	72	60
8	73	59
9	73	59
10	74	61
11	86	57
12	85	57
13	86	57
14	85	56
15	86	55
16	85	55
17	84	56
18	84	56
19	85	56
20	85	56
21	90	41
22	89	41
23	88	41
24	89	41
25	89	41
26	88	40
27	88	41
28	87	40
29	87	40
30	88	40
31	92	41
32	93	41
33	93	40
34	93	40
35	92	39
36	93	40
37	91	40
38	92	40
39	90	40
40	91	39
41	97	35
42	97	35
43	97	35
44	97	35
45	97	34
46	97	34
47	97	34
48	97	34
49	97	34
50	97	34
51	89	34	
52	89	34
53	90	34
54	90	34
55	90	34
56	88	34
57	89	33
58	89	33
59	88	34
60	88	33
61	97	32
62	97	33
63	97	32
64	97	32
65	96	32
66	95	32
67	97	32
68	97	31
69	96	31
70	96	31
