1	15.22
2	16.88
3	19.43
4	21.06
5	23.21
6	24.86
7	27.02
8	29.12
9	30.86
10	32.98
11	15.27
12	16.89
13	19.03
14	21.13
15	23.21
16	25.36
17	27.03
18	29.12
19	30.87
20	33.39
21	15.20
22	17.27
23	19.36
24	21.09
25	23.15
26	24.86
27	26.95
28	29.09
29	31.26
30	32.94
31	14.86
32	17.39
33	19.08
34	21.13
35	23.29
36	24.98
37	27.09
38	28.81
39	30.87
40	33.44
41	14.88
42	17.24
43	19.08
44	21.18
45	23.24
46	24.9
47	27.08
48	29.19
49	31.28
50	33.05
51	15.31
52	17.36
53	19.08
54	21.23
55	23.33
56	24.97
57	27.05
58	29.17
59	30.9
60	33.04
61	15.31
62	16.98
63	19.1
64	21.15
65	23.23
66	24.96
67	27.05
68	29.17
69	31.31
70	33.01
