Run,$I_Z$,$V_{nom}$,$dt$,$V_{fs}$,$Q$,$P_{atm}$,$T_{tunnel}$,$\phi$,$R_{core}$,$\overline{t}_{max}$,$\overline{w}_{core}$
,$mm$,$m/s$,$\mu s$,$m/s$,$Pa$,$Pa$,K,$\%$,$mm$,$m/s$,$m/s$
,,,,,,,,,,,
51,965,15.0,40,15.3,140,102039,294.9,61.2,16.5,3.7,12.3
52,965,17.0,40,17.4,182,102034,294.9,61.2,13.8,4.2,13.9
53,965,19.0,40,19.1,219,102035,295.1,59.4,14.9,4.4,15.4
54,965,21.0,40,21.2,270,102037,295.4,59.4,16.0,5.1,16.9
55,965,23.0,40,23.3,327,102018,295.6,59.4,14.5,5.6,18.7
56,965,25.0,25,25.0,375,102021,295.9,59.4,16.5,6.4,19.7
57,965,27.0,25,27.1,437,102008,297.9,52.6,13.9,6.7,21.8
58,965,29.0,25,29.2,505,102005,298.1,47.4,14.2,6.8,23.6
59,965,31.0,25,30.9,571,102015,297.9,53.7,17.4,7.0,24.7
60,965,33.0,25,33.0,653,102009,297.4,53.7,17.7,7.9,26.5
