Run,$I_Z$,$V_{nom}$,$dt$,$V_{free}$,$P_{atm}$,$T_{tunnel}$,$\phi$,$\eta_P$,$R_{core}$,$\overline{v_{\theta}}_{max}$,$\overline{v_{\bar{z}}}$
,$mm$,$m/s$,$\mu s$,$m/s$,$KPa$,K,$\%$,$\mu s$,$mm$,$m/s$,$m/s$
,,,,,,,,,,,
1,546,15,50,15.2,102.0,299.9,60.4,0.35,17.4,3.1,15.3
2,546,17,50,16.9,102.1,297.6,66.3,0.33,16.4,3.2,17.0
3,546,19,50,19.4,102.1,297.6,66.3,0.33,18.9,3.7,19.6
4,546,21,50,21.1,102.1,297.8,63.3,0.32,18.2,4.0,21.3
5,546,23,35,23.2,102.1,297.9,63.3,0.32,17.5,4.3,23.2
6,546,25,35,24.9,102.1,298.1,63.3,0.32,17.3,4.7,25.2
7,546,27,35,27.0,102.1,298.3,63.3,0.32,19.1,5.0,27.3
8,546,29,25,29.1,102.1,298.4,63.3,0.32,18.6,5.4,29.3
9,546,31,25,30.9,102.0,299.1,63.3,0.32,18.5,5.8,31.2
10,546,33,25,33.0,102.1,299.9,60.4,0.35,16.5,6.2,33.2
